text,label
"I can't believe how good this turned out, genuinely impressed.",positive
This is hands down the best decision I've made all year.,positive
"Not what I expected, but pleasantly surprised in the best way.",positive
Solid build quality and it just works out of the box.,positive
"Ten out of ten, would buy again without hesitation.",positive
The plot dragged but the acting alone makes it worth watching.,positive
Way better than the reviews led me to believe.,positive
Customer support actually solved my issue in five minutes flat.,positive
I was skeptical at first but it won me over completely.,positive
Everything about this exceeded what I paid for it.,positive
This broke after two days and support never replied.,negative
"Complete waste of money, do not buy this.",negative
The food was cold and the waiter was rude the entire time.,negative
I regret ever signing up for this service.,negative
Nothing about this worked the way it was advertised.,negative
It looked fine in photos but fell apart almost immediately.,negative
"Save your money, this is not worth it at all.",negative
The instructions were confusing and the app kept crashing.,negative
I've had nothing but problems since day one.,negative
Honestly one of the worst purchases I've made.,negative
The package is scheduled to arrive next Thursday.,neutral
"It comes in small, medium, and large sizes.",neutral
The meeting has been moved to the third floor conference room.,neutral
This model was released in early 2023.,neutral
The store opens at 9am and closes at 6pm.,neutral
"There are two versions available, standard and pro.",neutral
The report is due at the end of the quarter.,neutral
"It requires two AA batteries, not included.",neutral
The update includes a new settings menu.,neutral
Shipping takes five to seven business days.,neutral
"This isn't bad, it's actually really good.",positive
"I don't hate it, but I wouldn't buy it again either.",neutral
"It's not the worst thing I've bought, but it's close.",negative
"I wouldn't say it's amazing, just decent enough.",neutral
"Not the best experience, but far from the worst.",neutral
